,Player Name
0,Babar Azam
1,Virat Kohli
2,Rohit Sharma
3,Ross Taylor
4,Quinton de Kock
5,Aaron Finch
6,Jonny Bairstow
7,David Warner
8,Kane Williamson
9,Rassie van der Dussen
10,Shai Hope
11,Fakhar Zaman
12,Joe Root
13,Mushfiqur Rahim
14,Shikhar Dhawan
15,Imam-ul-Haq
16,Martin Guptill
17,Steve Smith
18,Jason Roy
19,Glenn Maxwell
20,Tamim Iqbal
21,Alex Carey
22,Paul Stirling
23,Ben Stokes
24,Eoin Morgan
25,Shakib Al Hasan
26,Lokesh Rahul
27,Tom Latham
28,David Miller
29,Jos Buttler
30,Shimron Hetmyer
31,Janneman Malan
32,Haris Sohail
33,Henry Nicholls
34,Nicholas Pooran
35,Rahmat Shah
36,Andrew Balbirnie
37,Kyle Coetzer
38,Aqib Ilyas
39,Mahmudullah
40,Brendan Taylor
41,Avishka Fernando
42,Sean Williams
43,Litton Das
44,Evin Lewis
45,Kariyawasa Asalanka
46,Harry Tector
47,Kedar Jadhav
48,Kusal Perera
49,Hardik Pandya
50,Sikandar Raza
51,Angelo Mathews
52,Hashmatullah Shaidi
53,Imad Wasim
54,Danushka Gunathilaka
55,Soumya Sarkar
56,Marcus Stoinis
57,Najibullah Zadran
58,Temba Bavuma
59,Kusal Mendis
60,Colin de Grandhomme
61,Sarfaraz Ahmed
62,Calum MacLeod
63,Marnus Labuschagne
64,Jimmy Neesham
65,Mitchell Marsh
66,Niroshan Dickwella
67,Mohammad Nabi
68,Richard Berrington
69,Craig Ervine
70,Aiden Markram
71,Assad Vala
72,William Porterfield
73,Asghar Afghan
74,Muhammad Usman
75,Heinrich Klaasen
76,Shreyas Iyer
77,Dhananjaya de Silva
78,Dasun Shanaka
79,George Munsey
80,Mitchell Santner
81,Rishabh Pant
82,Jason Holder
83,Mithun Ali
84,Andile Phehlukwayo
85,Rashid Khan
86,Ravindra Jadeja
87,Matthew Wade
88,Lahiru Thirimanne
89,Mohammad Rizwan
90,Dinesh Chandimal
91,Rovman Powell
92,Kieron Pollard
93,Zeeshan Maqsood
94,Gulbadin Naib
95,Matthew Cross
96,Moeen Ali
97,Curtis Campher
98,Chris Woakes
99,Scott Edwards
